u,v,key,osmid,highway,maxspeed,name,oneway,reversed,length,lanes,geometry,junction,bridge,ref,access,width,tunnel,building_density,vegetation_score,wind_speed_mps,wind_direction,temperature_k,humidity_pct,openweather_aqi_1to5,AQI,vehicle_count,avg_speed_kmph,carbon_cost
1177160691,1177160524,0,101966424,residential,,Dendra Mullick Ln,False,True,76.61849299793045,,"LINESTRING (9835935.741269648 2580575.3817390623, 9835999.416018382 2580574.8151263567, 9836018.78560978 2580573.8989015957)",,,,,,,35,0,6.39,204,300.0,65.0,3,53,70,5.0,829.1953411826157
1177160691,1177161612,0,101966443,tertiary,,Phears Lane,False,False,58.48899984674311,,"LINESTRING (9835935.741269648 2580575.3817390623, 9835936.865596505 2580604.821515185, 9835937.322006417 2580638.7701506084)",,,,,,,27,0,6.39,204,300.0,65.0,3,53,11,5.0,222.80547979770088
1177160691,1177161483,0,101966443,tertiary,,Phears Lane,False,True,114.29193846623119,,"LINESTRING (9835935.741269648 2580575.3817390623, 9835933.258845003 2580508.9194059884, 9835932.301497381 2580451.523072163)",,,,,,,36,0,6.39,204,300.0,65.0,3,53,27,5.0,560.905880630589
1177161043,1177161333,0,101966506,residential,,,False,False,51.45620246822147,,"LINESTRING (9836065.996205827 2580628.546974688, 9836070.103895037 2580684.1837923233)",,,,,,,26,0,6.39,204,300.0,65.0,3,53,70,5.0,572.8321007330604
1177161043,1177160524,0,"[101966424, 101966506]",residential,,Dendra Mullick Ln,False,"[False, True]",77.88821563066406,,"LINESTRING (9836065.996205827 2580628.546974688, 9836060.953432892 2580591.1384022683, 9836047.45037866 2580590.620011428, 9836018.78560978 2580573.8989015957)",,,,,,,29,0,6.39,204,300.0,65.0,3,53,58,5.0,697.7019807894219
1177161043,10281958930,0,1275573515,residential,,,False,True,41.025912291931455,,"LINESTRING (9836065.996205827 2580628.546974688, 9836095.228704108 2580626.4492955003, 9836110.379286805 2580625.6415685276)",,,,,,,22,1,6.39,204,300.0,65.0,3,53,50,5.0,363.75547375158874
10281958928,1177160524,0,102961724,residential,,,False,True,68.46456593237514,,"LINESTRING (9836091.91138328 2580561.156149309, 9836044.400224611 2580569.317778551, 9836018.78560978 2580573.8989015957)",,,,,,,20,0,6.39,204,300.0,65.0,3,53,51,5.0,529.6031435061358
10281958928,10281958930,0,1124379127,primary,60,,True,False,61.86973259584482,2,"LINESTRING (9836091.91138328 2580561.156149309, 9836100.226949243 2580590.620011428, 9836110.379286805 2580625.6415685276)",,,,,,,17,1,6.39,204,300.0,65.0,3,53,77,47.0,664.2763291856062
1177161468,1177160573,0,101966488,residential,,,False,False,60.94311487035508,,"LINESTRING (9835508.30782085 2579932.240530946, 9835525.317439042 2579996.0845855637)",,,,,,,19,0,6.39,204,300.0,65.0,3,53,29,5.0,317.6820397488357
1177161468,1177161549,0,101966488,residential,,,False,True,52.656203064983295,,"LINESTRING (9835508.30782085 2579932.240530946, 9835505.825396204 2579875.2078413814)",,,,,,,21,0,6.39,204,300.0,65.0,3,53,29,5.0,298.84358666614185
1177161468,1177161050,0,101966494,residential,,Mangoe Lane,False,True,97.46931760657142,,"LINESTRING (9835508.30782085 2579932.240530946, 9835449.976407673 2579937.8341090097, 9835403.300145185 2579943.9219493438)",,,,,,,19,0,6.39,204,300.0,65.0,3,53,26,5.0,409.7042709325029
1177161508,1177160687,0,102688627,secondary,40,Ganesh Chandra Road,False,False,30.07081199306375,,"LINESTRING (9835579.463239364 2579961.7153330846, 9835608.239327736 2579946.393251502)",,,,,,,18,0,6.39,204,300.0,65.0,3,53,73,33.0,364.02031305923845
1177161508,1177161573,0,101966430,residential,,Metcalfe Street,False,False,83.90125903509706,,"LINESTRING (9835579.463239364 2579961.7153330846, 9835589.248222604 2580006.367648261, 9835595.3707946 2580051.2009115554)",,,,,,,32,0,6.39,204,300.0,65.0,3,53,51,5.0,684.0757052947939
1177161508,1177160573,0,102688627,secondary,40,Ganesh Chandra Road,False,True,59.18568990903675,,"LINESTRING (9835579.463239364 2579961.7153330846, 9835570.969562218 2579966.236012883, 9835525.317439042 2579996.0845855637)",,,,,,,19,0,6.39,204,300.0,65.0,3,53,52,28.0,474.91870503238937
1177161698,1177160598,0,103050330,residential,,Kapilatola Ln,False,True,27.70727767815336,,"LINESTRING (9835786.595415883 2579983.8606482656, 9835758.598563949 2579994.7464618115)",,,,,,,17,0,6.39,204,300.0,65.0,3,53,21,5.0,165.42233974894646
1177161698,1177160779,0,1199457538,residential,,,False,True,42.129575005607215,,"LINESTRING (9835786.595415883 2579983.8606482656, 9835797.560385726 2580028.199587932)",,,,,,,21,0,6.39,204,300.0,65.0,3,53,55,5.0,393.6551950370076
1177161698,1189868590,0,103050330,residential,,Kapilatola Ln,False,False,27.920473754295305,,"LINESTRING (9835786.595415883 2579983.8606482656, 9835798.094719283 2579979.2314672587, 9835815.90583781 2579977.736627833)",,,,,,,18,0,6.39,204,300.0,65.0,3,53,39,5.0,231.26781717010203
1177160765,10279701142,0,102688627,secondary,40,Ganesh Chandra Road,False,False,32.619218769667334,,"LINESTRING (9835715.428865418 2579875.5815489194, 9835742.824592102 2579853.219386837)",,,,,,,14,0,6.39,204,300.0,65.0,3,53,35,29.0,217.60071883260278
1177160765,1177161154,0,102688627,secondary,40,Ganesh Chandra Road,False,True,53.45581113851604,,"LINESTRING (9835715.428865418 2579875.5815489194, 9835670.533714782 2579912.2290386343)",,,,,,,18,0,6.39,204,300.0,65.0,3,53,36,35.0,331.52910411838934
1177160765,1177160598,0,101966486,living_street,,,False,False,117.66583446219245,,"LINESTRING (9835715.428865418 2579875.5815489194, 9835734.442234447 2579908.6848370857, 9835748.323774949 2579956.616007748, 9835758.598563949 2579994.7464618115)",,,,,,,33,0,6.39,204,300.0,65.0,3,53,51,5.0,895.7149069086178
1177161612,1177160599,0,101966443,tertiary,,Phears Lane,False,False,176.33938192124324,,"LINESTRING (9835937.322006417 2580638.7701506084, 9835934.5056233 2580647.5104887835, 9835928.82832927 2580669.0418794067, 9835908.545918047 2580713.7925408953, 9835905.11727773 2580721.038012242, 9835900.909400979 2580730.6102371356, 9835893.473258995 2580751.3340023686, 9835887.795964964 2580787.0189641053, 9835883.599220162 2580820.738912233)",,,,,,,37,0,6.39,204,300.0,65.0,3,53,74,5.0,1761.49371146064
1177161612,1177160691,0,101966443,tertiary,,Phears Lane,False,True,58.48899984674311,,"LINESTRING (9835937.322006417 2580638.7701506084, 9835936.865596505 2580604.821515185, 9835935.741269648 2580575.3817390623)",,,,,,,27,0,6.39,204,300.0,65.0,3,53,48,5.0,482.4966391172403
1177161612,1177161647,0,101966481,residential,,,False,True,73.56352610813536,,"LINESTRING (9835937.322006417 2580638.7701506084, 9835992.402890462 2580640.4820509646, 9836017.004497927 2580638.950985145)",,,,,,,29,0,6.39,204,300.0,65.0,3,53,13,5.0,270.35910072869115
1177160716,1177161553,0,103050320,living_street,,,False,True,97.45857732175334,,"LINESTRING (9835618.547512582 2580278.708380769, 9835592.587807328 2580176.286235089)",,,,,,,29,0,6.39,204,300.0,65.0,3,53,15,5.0,331.025439179156
1177160716,13619904153,0,1087118362,secondary,40,Bepin Behari Ganguly Street,True,False,93.50133125380727,,"LINESTRING (9835618.547512582 2580278.708380769, 9835547.94869152 2580303.4219167703, 9835522.868410246 2580312.1982447403)",,,,,,,28,0,6.39,204,300.0,65.0,3,53,23,33.0,408.66367426050806
1177161553,1177160716,0,103050320,living_street,,,False,False,97.45857732175334,,"LINESTRING (9835592.587807328 2580176.286235089, 9835618.547512582 2580278.708380769)",,,,,,,29,0,6.39,204,300.0,65.0,3,53,38,5.0,600.0111125871953
1177161553,1189868591,0,"[101966397, 101966430]",residential,,Metcalfe Street,False,False,116.75954175324716,,"LINESTRING (9835592.587807328 2580176.286235089, 9835522.022382116 2580201.686771909, 9835527.922315126 2580217.985570612, 9835495.584003052 2580229.281419033)",,,,,,,26,0,6.39,204,300.0,65.0,3,53,61,5.0,995.2798456337692
1177161553,10907806554,0,101966430,residential,,Metcalfe Street,False,True,39.9053873395943,,"LINESTRING (9835592.587807328 2580176.286235089, 9835603.597304968 2580159.155662412, 9835601.838457014 2580136.3229631605)",,,,,,,22,0,6.39,204,300.0,65.0,3,53,24,5.0,235.52751553803157
13619904153,1189868591,0,1485642374,living_street,,,False,True,80.51416327956086,,"LINESTRING (9835522.868410246 2580312.1982447403, 9835495.584003052 2580229.281419033)",,,,,,,23,0,6.39,204,300.0,65.0,3,53,48,5.0,589.3615804902705
13619904153,663825905,0,1087118362,secondary,40,Bepin Behari Ganguly Street,True,False,105.40980148573456,,"LINESTRING (9835522.868410246 2580312.1982447403, 9835519.66240891 2580313.3193968614, 9835414.999823667 2580349.943741088)",,,,,,,24,0,6.39,204,300.0,65.0,3,53,59,26.0,876.9013945190007
1177160923,1177161047,0,1199457538,residential,,,False,True,23.164077559780303,,"LINESTRING (9835815.594143234 2580076.3722078525, 9835823.898577249 2580100.072802339)",,,,,,,23,0,6.39,204,300.0,65.0,3,53,15,5.0,167.29533960760455
1177160923,1177161675,0,101966508,residential,,,False,False,79.34855608051448,,"LINESTRING (9835815.594143234 2580076.3722078525, 9835795.445315402 2580081.8332268815, 9835733.618470216 2580102.3753542663)",,,,,,,26,0,6.39,204,300.0,65.0,3,53,47,5.0,588.1258562941017
1177160923,1177160779,0,1199457538,residential,,,False,False,47.44847299350943,,"LINESTRING (9835815.594143234 2580076.3722078525, 9835806.82216736 2580052.056831445, 9835797.560385726 2580028.199587932)",,,,,,,22,0,6.39,204,300.0,65.0,3,53,53,5.0,422.37228823872
1177160866,1177161549,0,101966488,residential,,,False,False,69.0706620977098,,"LINESTRING (9835488.504083438 2579802.3591421, 9835494.693447126 2579827.180465133, 9835505.825396204 2579875.2078413814)",,,,,,,24,0,6.39,204,300.0,65.0,3,53,22,5.0,312.9465479379539
1177160866,1177161219,0,102690983,tertiary,,Sooterkin Street,True,False,118.15391889053465,,"LINESTRING (9835488.504083438 2579802.3591421, 9835427.42307884 2579819.1759159183, 9835364.739073573 2579835.365843994)",,,,,,,33,0,6.39,204,300.0,65.0,3,53,77,5.0,1267.3422105485402
1177161047,1189868581,0,101966453,residential,,,False,True,19.558891727524205,,"LINESTRING (9835823.898577249 2580100.072802339, 9835844.325703809 2580094.3827277417)",,,,,,,25,0,6.39,204,300.0,65.0,3,53,20,5.0,182.54134014605808
1177161047,1177160923,0,1199457538,residential,,,False,False,23.164077559780303,,"LINESTRING (9835823.898577249 2580100.072802339, 9835815.594143234 2580076.3722078525)",,,,,,,23,0,6.39,204,300.0,65.0,3,53,11,5.0,156.17658237890998
1177161047,1177161432,0,101966381,living_street,,,False,True,124.34316000790295,,"LINESTRING (9835823.898577249 2580100.072802339, 9835825.234411137 2580107.426503329, 9835828.340224931 2580128.1012702677, 9835806.71084787 2580136.949837272, 9835789.678965779 2580177.262714429, 9835800.476956384 2580215.044070255)",,,,,,,35,0,6.39,204,300.0,65.0,3,53,57,5.0,1036.107214454056
1177161074,1177161018,0,101966427,residential,,Baretto Lane,False,False,140.7920215271713,,"LINESTRING (9835186.227138137 2579893.7244572467, 9835195.711558752 2579921.776687382, 9835214.090406682 2579978.0380067388, 9835230.799462251 2580039.65202496)",,,,,,,23,0,6.39,204,300.0,65.0,3,53,27,5.0,581.766149748035
1177161074,1177160403,0,101966510,tertiary,,Abdul Hamid (British Ind.) Street,True,False,174.1950817528671,,"LINESTRING (9835186.227138137 2579893.7244572467, 9835158.063306967 2579903.187709649, 9835091.99518918 2579925.381167313, 9835007.59275126 2579954.9885638207)",,,,,,,17,0,6.39,204,300.0,65.0,3,53,57,5.0,1287.094359189611
1177161022,10281958927,0,"[1309211043, 101966396]",residential,,,False,False,141.13334392001826,,"LINESTRING (9835964.98489988 2580436.2125944328, 9835980.56962859 2580489.100107625, 9835985.122595765 2580499.214697936, 9835990.74423005 2580501.951304477, 9835996.154357303 2580502.3973593307, 9836028.45927353 2580483.771565504, 9836064.092642533 2580471.113270936)",,,,,,,39,0,6.39,204,300.0,65.0,3,53,31,5.0,730.6160393824679
1177161022,6508834064,0,102688628,tertiary,,Khirode Vidya Binode Avanue,True,False,55.91800686497368,,"LINESTRING (9835964.98489988 2580436.2125944328, 9836006.829896469 2580416.104051412, 9836019.242019692 2580409.208321639)",,,,,,,17,0,6.39,204,300.0,65.0,3,53,11,5.0,169.41176906176523
